descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-26,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-27,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-28,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-29,0.5127054045105086
,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-30,0.5127054045105086
close long,680.344482421875,0.22025495767593384,0.05511314794421196,1.288941500772049,0.8884949270142027,0.4004465737578463,2024-03-31,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-01,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-02,0.9131519782683549
short,638.88037109375,0.18253536522388458,1.0843079090118408,-0.060945759684155866,-0.17125422669280824,0.0,2024-04-03,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-05,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-06,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-07,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-08,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-09,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-10,0.9131519782683549
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-11,0.9131519782683549
close short,534.5838623046875,0.17480331659317017,-0.0644577145576477,-0.1632488858759411,-0.042359181308404804,0.12088970456753631,2024-04-12,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-13,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-14,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-15,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-16,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-17,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-18,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-19,1.0340416828358912
